shipment_id,shipment_date,carrier,origin,destination,region,shipping_mode,priority,weight,distance,shipping_cost,promised_delivery_days,actual_delivery_days,delivery_status,is_delayed
SHP100001,2025-01-01,BlueDart,Hyderabad,Kochi,West,Road,Standard,15.64,2063,1607.06,6,11,Delayed,1
SHP100002,2025-01-01,Delhivery,Delhi,Ahmedabad,West,Road,Express,2.26,135,188.44,5,5,Delivered,0
SHP100003,2025-01-02,UPS,Hyderabad,Jaipur,West,Air,Express,7.65,799,1218.96,4,4,Delivered,0
SHP100004,2025-01-02,Delhivery,Hyderabad,Kochi,West,Road,High,7.79,2159,1367.71,7,7,Delivered,0
SHP100005,2025-01-03,Delhivery,Mumbai,Lucknow,Central,Road,Express,4.65,653,510.41,5,5,Delivered,0
SHP100006,2025-01-03,FedEx,Delhi,Kochi,Central,Road,High,9.29,746,890.03,6,5,Delivered,0
SHP100007,2025-01-04,UPS,Bengaluru,Lucknow,South,Sea,Standard,9.46,363,497.62,10,9,Delivered,0
SHP100008,2025-01-04,UPS,Kolkata,Pune,North,Air,Express,8.8,1824,1530.43,5,6,Delivered,0
SHP100009,2025-01-05,UPS,Chennai,Ahmedabad,West,Road,High,4.59,2314,1403.4,7,8,Delivered,0
SHP100010,2025-01-05,Delhivery,Bengaluru,Thiruvananthapuram,South,Road,Express,3.94,577,410.31,4,4,Delivered,0
SHP100011,2025-01-06,BlueDart,Delhi,Kochi,North,Road,Standard,4.97,1545,1055.43,6,6,Delivered,0
SHP100012,2025-01-07,UPS,Mumbai,Jaipur,East,Road,Express,3.54,209,431.54,5,5,Delivered,0
SHP100013,2025-01-07,Delhivery,Chennai,Ahmedabad,Central,Road,High,13.69,718,942.01,5,5,Delivered,0
SHP100014,2025-01-08,FedEx,Kolkata,Kochi,North,Sea,Express,5.29,2241,1173.91,12,13,Delivered,0
SHP100015,2025-01-08,BlueDart,Hyderabad,Jaipur,East,Air,Standard,7.5,2140,1804.0,4,6,Delivered,0
SHP100016,2025-01-09,FedEx,Hyderabad,Jaipur,North,Air,Express,11.53,1065,1519.65,4,4,Delivered,0
SHP100017,2025-01-09,BlueDart,Bengaluru,Thiruvananthapuram,Central,Road,High,3.4,1072,670.03,5,6,Delivered,0
SHP100018,2025-01-10,Delhivery,Kolkata,Thiruvananthapuram,Central,Road,Standard,2.18,2201,1242.53,5,6,Delivered,0
SHP100019,2025-01-10,DHL,Delhi,Jaipur,South,Air,Express,3.55,180,884.36,1,1,Delivered,0
SHP100020,2025-01-11,BlueDart,Kolkata,Thiruvananthapuram,West,Air,Standard,8.07,2303,1876.01,5,5,Delivered,0
SHP100021,2025-01-11,FedEx,Mumbai,Jaipur,North,Air,Express,7.7,506,1051.26,2,3,Delivered,0
SHP100022,2025-01-12,Delhivery,Bengaluru,Kochi,North,Rail,Express,8.78,120,576.84,7,8,Delivered,0
SHP100023,2025-01-13,BlueDart,Bengaluru,Pune,East,Air,Standard,6.25,508,1078.94,3,4,Delivered,0
SHP100024,2025-01-13,DHL,Mumbai,Thiruvananthapuram,Central,Road,Standard,0.63,423,306.7,4,5,Delivered,0
SHP100025,2025-01-14,DHL,Kolkata,Lucknow,North,Air,Express,6.11,445,986.71,3,3,Delivered,0
